Timp,Nivel de oxigen,Puls cardiac,Mişcare
21:13:50 15/10/2025,86,74,0
21:13:54 15/10/2025,86,74,0
21:13:58 15/10/2025,86,73,0
21:14:02 15/10/2025,85,72,0
21:14:06 15/10/2025,86,72,0
21:14:10 15/10/2025,86,73,0
21:14:14 15/10/2025,86,73,0
21:14:18 15/10/2025,86,74,0
21:14:22 15/10/2025,86,74,0
21:14:26 15/10/2025,85,72,0
21:14:30 15/10/2025,85,72,0
21:14:34 15/10/2025,86,73,0
21:14:38 15/10/2025,86,74,0
21:14:42 15/10/2025,86,74,0
21:14:46 15/10/2025,86,73,0
21:14:50 15/10/2025,86,71,0
21:14:54 15/10/2025,86,71,1
21:14:58 15/10/2025,86,72,0
21:15:02 15/10/2025,86,73,0
21:15:06 15/10/2025,86,73,1
21:15:10 15/10/2025,86,72,0
21:15:14 15/10/2025,86,72,1
21:15:18 15/10/2025,86,73,0
21:15:22 15/10/2025,86,73,0
21:15:26 15/10/2025,86,72,1
21:15:30 15/10/2025,86,72,0
21:15:34 15/10/2025,86,71,1
21:15:38 15/10/2025,86,72,1
21:15:42 15/10/2025,86,74,0
21:15:46 15/10/2025,86,74,0
21:15:50 15/10/2025,86,74,0
21:15:54 15/10/2025,86,74,0
21:15:58 15/10/2025,85,74,0
21:16:02 15/10/2025,86,73,0
21:16:06 15/10/2025,85,72,1
21:16:10 15/10/2025,85,72,0
21:16:14 15/10/2025,85,73,0
21:16:18 15/10/2025,85,73,0
21:16:22 15/10/2025,86,72,0
21:16:26 15/10/2025,86,72,0
21:16:30 15/10/2025,86,72,0
21:16:34 15/10/2025,85,73,0
21:16:38 15/10/2025,85,75,1
21:16:42 15/10/2025,85,75,1
21:16:46 15/10/2025,85,74,0
21:16:50 15/10/2025,86,73,0
21:16:54 15/10/2025,86,72,0
21:16:58 15/10/2025,86,72,1
21:17:02 15/10/2025,86,72,0
21:17:06 15/10/2025,86,72,0
21:17:10 15/10/2025,86,73,1
21:17:14 15/10/2025,86,74,0
21:17:18 15/10/2025,86,76,0
21:17:22 15/10/2025,86,76,0
21:17:26 15/10/2025,85,74,0
21:17:30 15/10/2025,85,73,0
21:17:34 15/10/2025,86,73,0
21:17:38 15/10/2025,85,73,0
21:17:42 15/10/2025,85,73,0
21:17:46 15/10/2025,85,74,0
21:17:50 15/10/2025,85,75,0
21:17:54 15/10/2025,85,74,0
21:17:58 15/10/2025,85,72,1
21:18:02 15/10/2025,86,73,0
21:18:06 15/10/2025,85,73,0
21:18:10 15/10/2025,85,73,0
21:18:14 15/10/2025,85,73,1
21:18:18 15/10/2025,86,73,1
21:18:22 15/10/2025,85,73,0
21:18:26 15/10/2025,85,73,0
21:18:30 15/10/2025,85,73,0
21:18:34 15/10/2025,85,73,0
21:18:38 15/10/2025,85,74,0
21:18:42 15/10/2025,85,74,0
21:18:46 15/10/2025,85,75,0
21:18:50 15/10/2025,85,76,0
21:18:54 15/10/2025,84,75,0
21:18:58 15/10/2025,84,74,0
21:19:02 15/10/2025,85,73,0
21:19:06 15/10/2025,85,72,0
21:19:10 15/10/2025,85,72,0
21:19:14 15/10/2025,85,74,0
21:19:18 15/10/2025,85,74,0
21:19:22 15/10/2025,85,74,1
21:19:26 15/10/2025,85,74,0
21:19:30 15/10/2025,85,74,1
21:19:34 15/10/2025,85,74,1
21:19:38 15/10/2025,85,74,0
21:19:42 15/10/2025,85,74,0
21:19:46 15/10/2025,85,73,1
21:19:50 15/10/2025,85,71,0
21:19:54 15/10/2025,85,72,0
21:19:58 15/10/2025,85,73,0
21:20:02 15/10/2025,85,74,0
21:20:06 15/10/2025,85,75,1
21:20:10 15/10/2025,85,75,0
21:20:14 15/10/2025,85,74,1
21:20:18 15/10/2025,85,74,0
21:20:22 15/10/2025,85,74,0
21:20:26 15/10/2025,86,73,0
21:20:30 15/10/2025,86,73,0
21:20:34 15/10/2025,86,73,0
21:20:38 15/10/2025,86,73,0
